Unnamed: 0,id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
821,0941.HK,HKG:0941,China Mobile Ltd.,56.85,54.1,57.0,54.1,69193790.0,1164031171451.0,2021-03-05,15.0,91770923.0,9.18,6.19,63.75,39.0,1.85,3.36,55.0,20475482897.0
1076,1252.HK,HKG:1252,China Tianrui Group Cement Co Ltd,6.1,6.06,6.1,5.81,509000.0,17923517766.0,2021-03-05,15.0,1616807.0,9.05,0.67,8.89,5.81,0.04,0.66,6.06,2938281647.0
1565,2368.HK,HKG:2368,Eagle Nice (International) Holdings Ltd,4.88,4.55,4.91,4.55,1315656.0,2596160060.0,2021-03-05,15.0,270031.0,8.8,0.55,4.91,1.85,0.25,5.4,4.63,532000000.0
770,0883.HK,HKG:0883,CNOOC Ltd,9.31,9.34,9.39,9.01,281304474.0,53438545964.0,2021-03-05,15.0,446997398.0,8.42,1.11,11.14,6.24,0.22,2.42,9.09,44647455984.0
1281,1600.HK,HKG:1600,China Tian Lun Gas Holdings Limited,7.13,7.0,7.2,6.99,1615000.0,7155775834.0,2021-03-05,15.0,1533400.0,7.82,0.91,8.1,4.74,0.02,0.28,7.11,1003615108.0
1313,1658.HK,HKG:1658,POSTAL SAVINGS BANK of CHINA Co Ltd,6.16,5.96,6.25,5.93,135824194.0,922835121140.0,2021-03-05,15.0,116433786.0,7.81,0.79,6.25,3.02,0.14,2.33,6.02,19856167000.0
658,0746.HK,HKG:0746,Lee & Man Chemical Co Ltd,4.26,4.1,4.32,3.92,1592000.0,3514500188.0,2021-03-05,15.0,171067.0,7.71,0.55,4.32,2.82,0.16,3.9,4.1,825000000.0
1357,1776.HK,HKG:1776,GF Securities Co Ltd,11.06,10.96,11.26,10.82,5160426.0,131030147571.0,2021-03-05,15.0,5972167.0,7.68,1.44,13.36,7.44,0.06,0.55,11.0,1701796200.0
485,0548.HK,HKG:0548,Shenzhen Expressway Ord Shs H,7.67,7.44,7.67,7.3,5817057.0,20951709688.0,2021-03-05,15.0,3071949.0,7.35,1.04,9.66,6.65,0.28,3.79,7.39,747500000.0
1029,1199.HK,HKG:1199,COSCO SHIPPING Ports Ltd,6.01,5.94,6.1,5.74,7673716.0,19924931966.0,2021-03-05,15.0,5545807.0,7.3,0.82,6.5,3.3,0.08,1.35,5.93,3315296374.0
943,1099.HK,HKG:1099,SINOPHARM HOLDING CO LTD,17.64,17.46,17.68,17.18,9588457.0,55048369935.0,2021-03-05,15.0,10672402.0,7.22,2.44,23.7,14.7,0.08,0.46,17.56,1341810740.0
439,0489.HK,HKG:0489,Dongfeng Motor Group Co. Ltd,7.24,7.01,7.39,6.93,21195986.0,62380699587.0,2021-03-05,15.0,26825852.0,7.05,1.03,10.1,4.38,0.13,1.83,7.11,2855732000.0
1560,2356.HK,HKG:2356,Dah Sing Banking Group Limited,8.82,8.35,8.82,8.29,1419568.0,12398733375.0,2021-03-05,15.0,433732.0,6.77,1.3,9.59,6.36,0.39,4.63,8.43,1405752132.0
0,0001.HK,HKG:0001,CK Hutchison Holdings Ltd,59.25,59.15,59.45,58.05,9241197.0,228482249625.0,2021-03-05,15.0,9094010.0,6.62,8.95,67.9,45.05,0.1,0.17,59.15,3856240500.0
1892,6198.HK,HKG:6198,Qingdao Port International Co Ltd,4.51,4.48,4.53,4.41,5457000.0,48640081868.0,2021-03-05,15.0,2314077.0,6.59,0.68,5.45,4.02,0.03,0.67,4.48,1099025000.0
483,0546.HK,HKG:0546,Fufeng Group Limited,3.43,3.42,3.43,3.26,2790000.0,8690382066.0,2021-03-05,15.0,4461428.0,6.47,0.53,3.87,2.23,0.01,0.29,3.42,2533639037.0
407,0440.HK,HKG:0440,Dah Sing Financial Holdings Ltd.,26.1,25.55,26.3,25.5,507621.0,8340910231.0,2021-03-05,15.0,341804.0,6.23,4.19,28.15,18.5,0.25,0.97,25.85,319575100.0
1833,3888.HK,HKG:3888,Kingsoft Corporation Limited,52.25,49.2,53.3,47.35,18114406.0,71725075463.0,2021-03-05,15.0,13230931.0,6.13,8.52,79.5,18.76,1.55,3.06,50.7,1372728717.0
727,0836.HK,HKG:0836,China Resources Power Holdings Co. Ltd.,8.91,8.84,9.01,8.72,5824990.0,42861052989.0,2021-03-05,15.0,12039556.0,6.04,1.48,10.2,6.42,0.07,0.79,8.84,4810443740.0
1179,1398.HK,HKG:1398,Industrial and Commercial Bank of China Ord Shs H,5.47,5.28,5.52,5.26,599564442.0,2420829910146.0,2021-03-05,15.0,282372466.0,5.75,0.95,5.52,3.96,0.19,3.6,5.28,86794044550.0
819,0939.HK,HKG:0939,China Construction Bank Ord Shs H,6.49,6.35,6.55,6.32,635907491.0,1647505262897.0,2021-03-05,15.0,342442642.0,5.59,1.16,6.66,4.93,0.11,1.72,6.38,240417319800.0
1543,2328.HK,HKG:2328,"PICC Property & Casualty Co., Ltd.",6.14,6.0,6.15,5.98,72403840.0,136570543430.0,2021-03-05,15.0,41174458.0,5.52,1.11,8.51,5.14,0.06,0.99,6.08,6899293833.0
1897,6818.HK,HKG:6818,China Everbright Bank Ord Shs H,3.43,3.36,3.46,3.34,35608834.0,252977253923.0,2021-03-05,15.0,23556643.0,5.05,0.68,3.97,2.4,0.06,1.78,3.37,12678735500.0
